Italy,,,87,,,,,Kerin O’Keefe
Portugal,,,87,15,,,,Roger Voss
US,,,87,14,,,,Paul Gregutt
US,,,87,13,,,,Alexander Peartree
US,,,87,65,,,,Paul Gregutt
Spain,,,87,15,,,,Michael Schachner
Italy,,,87,16,,,,Kerin O’Keefe
France,,,87,24,,,,Roger Voss
Germany,,,87,12,,,,Anna Lee C. Iijima
France,,,87,27,,,,Roger Voss
US,,,87,19,,,,Virginie Boone
France,,,87,30,,,,Roger Voss
US,,,87,34,,,,Virginie Boone
Italy,,,87,,,,,Kerin O’Keefe
US,,,87,12,,,,Matt Kettmann
Germany,,,87,24,,,,Anna Lee C. Iijima
Argentina,,,87,30,,,,Michael Schachner
Argentina,,,87,13,,,,Michael Schachner
Spain,,,87,28,,,,Michael Schachner
US,,,87,32,,,,Alexander Peartree
US,,,87,23,,,,Alexander Peartree
US,,,87,20,,,,Paul Gregutt
Italy,,,87,19,,,,Kerin O’Keefe
US,,,87,22,,,,Matt Kettmann
Italy,,,87,35,,,,Kerin O’Keefe
US,,,87,69,,,,Virginie Boone
Italy,,,87,13,,,,Kerin O’Keefe
Italy,,,87,10,,,,Kerin O’Keefe
Italy,,,87,17,,,,Kerin O’Keefe
US,,,86,16,,,,Virginie Boone
France,,,86,,,,,Roger Voss
Italy,,,86,,,,,
Italy,,,86,,,,,
US,,,86,50,,,,
US,,,86,20,,,,
US,,,86,50,,,,Paul Gregutt
Chile,,,86,15,,,,Michael Schachner
Italy,,,86,21,,,,
Italy,,,86,11,,,,
Italy,,,86,12,,,,
Italy,,,86,17,,,,
US,,,86,22,,,,Paul Gregutt
France,,,86,9,,,,Roger Voss
US,,,86,14,,,,
Chile,,,86,9,,,,Michael Schachner
US,,,86,40,,,,
Italy,,,86,13,,,,
US,,,86,13,,,,
US,,,86,16,,,,
France,,,86,14,,,,Roger Voss
Italy,,,86,,,,,
Chile,,,85,22,,,,Michael Schachner
Italy,,,85,14,,,,
France,,,85,15,,,,Roger Voss
Italy,,,85,,,,,
US,,,85,30,,,,
US,,,85,14,,,,Virginie Boone
Italy,,,85,13,,,,
Chile,,,85,13,,,,Michael Schachner
US,,,86,55,,,,Sean P. Sullivan
US,,,86,100,,,,Virginie Boone
Italy,,,86,17,,,,Kerin O’Keefe
US,,,86,25,,,,Sean P. Sullivan
France,,,86,58,,,,Roger Voss
US,,,86,26,,,,Matt Kettmann
France,,,86,24,,,,Roger Voss
France,,,86,15,,,,Roger Voss
US,,,86,46,,,,Sean P. Sullivan
US,,,86,12,,,,Jim Gordon
France,,,86,55,,,,Roger Voss
US,,,86,12,,,,Sean P. Sullivan
US,,,86,40,,,,Virginie Boone
Italy,,,86,32,,,,Kerin O’Keefe
US,,,86,75,,,,Virginie Boone
US,,,86,55,,,,Virginie Boone
US,,,86,75,,,,Virginie Boone
Germany,,,86,9,,,,Anna Lee C. Iijima
Australia,,,86,18,,,,Joe Czerwinski
US,,,86,25,,,,Paul Gregutt
Portugal,,,86,,,,,Roger Voss
